query	clicks	impressions	ctr_pct	avg_position
sierra soccer league	0	1	0.0	64.0
sierra valley local soccer association	0	2	0.0	3.5
signal mountain soccer league	0	2	0.0	31.0
simple soccer rules for kids	0	1	0.0	1.0
slime soccer rules	0	1	0.0	59.0
slysa divisions	0	1	0.0	3.0
small sided soccer games	0	1	0.0	6.0
smsl soccer	0	1	0.0	69.0
soccer	0	6	0.0	2.5
soccer age calculator	0	3	0.0	19.7
soccer age group chart	0	1	0.0	2.0
soccer age groups	0	2	0.0	1.0
soccer clubs near me	0	1	0.0	2.0
soccer d1	0	1	0.0	1.0
soccer fall	0	1	0.0	1.0
soccer for kids	0	3	0.0	2.0
soccer for kids near me	0	1	0.0	2.0
soccer for youth near me	0	1	0.0	1.0
soccer game length	0	1	0.0	89.0
soccer game length by age	0	278	0.0	6.8
soccer game lengths	0	1	0.0	76.0
soccer games in may	0	5	0.0	66.4
soccer games june 28	0	1	0.0	7.0
soccer games near me	0	1	0.0	2.0
soccer games tomorrow	0	1	0.0	4.0
soccer girl teams near me	0	1	0.0	7.0
soccer girls	0	1	0.0	1.0
soccer half length	0	20	0.0	20.3
soccer kids	0	1	0.0	1.0
soccer league	0	3	0.0	2.0
soccer league age groups	0	1	0.0	1.0
soccer leagues modesto	0	3	0.0	78.3
soccer leauges	0	2	0.0	2.0
soccer made easy	0	1	0.0	66.0
soccer mayjo	0	1	0.0	8.0
soccer middle school	0	1	0.0	1.0
soccer modified games	0	4	0.0	89.2
soccer mountain	0	7	0.0	12.1
soccer offsides	0	1	0.0	2.0
soccer programs near me	0	1	0.0	6.0
soccer registration	0	1	0.0	1.0
soccer registration near me	0	1	0.0	1.0
soccer rules for kids	0	2	0.0	1.0
soccer rules youth	0	1	0.0	1.0
soccer school for kids	0	1	0.0	82.0
soccer school for kids near me	0	2	0.0	3.0
soccer season months	0	1	0.0	1.0
soccer sign ups	0	1	0.0	1.0
soccer sunglasses	0	1	0.0	86.0
soccer teams near me	0	2	0.0	1.0
soccer teams youth	0	1	0.0	2.0
soccer throw in rules	0	2	0.0	55.5
soccer u levels	0	1	0.0	1.0
soccer u12	0	1	0.0	1.0
soccer victorville	0	1	0.0	63.0
soccer youth league near me	0	1	0.0	1.0
softball ages	0	1	0.0	1.0
south yosemite mountain league	0	2	0.0	8.5
sports	0	1	0.0	2.0
spring soccer	0	1	0.0	4.0
spring soccer near me	0	1	0.0	1.0
ssjysl	0	1	0.0	54.0
stanislaus soccer league	0	3	0.0	50.7
stanislaus youth soccer	0	6	0.0	54.5
stanislaus youth soccer league	0	56	0.0	46.6
summer league soccer near me	0	1	0.0	1.0
summer soccer leagues near me	0	1	0.0	1.0
summer soccer programs near me	0	1	0.0	1.0
summer soccer upper hutt	0	2	0.0	30.5
table soccer rules	0	1	0.0	95.0
tap here to join me on fc	0	1	0.0	1.0
throw in law	0	1	0.0	50.0
throw in rules	0	4	0.0	69.0
toddler soccer	0	1	0.0	3.0
travel league soccer	0	1	0.0	10.0
travel soccer clubs near me	0	1	0.0	1.0
tysl soccer schedule	0	1	0.0	3.0
u 12 soccer	0	1	0.0	1.0
u.s. soccer rules by age pdf	0	1	0.0	1.0
u10	0	1	0.0	1.0
u10 boys	0	4	0.0	78.2
u10 field dimensions	0	2	0.0	2.0
u10 game length	0	12	0.0	12.9
u10 game time	0	1	0.0	13.0
u10 soccer game length	0	2	0.0	13.0
u10 soccer rules australia	0	1	0.0	1.0
u10 team size	0	1	0.0	9.0
u11 age group soccer	0	1	0.0	1.0
u11 soccer game length	0	1	0.0	13.0
u11 soccer half length	0	41	0.0	13.0
u12 game length	0	5	0.0	9.4
u12 game time	0	1	0.0	12.0
